| dominio                           | documento           | adm_handle | tec_handle | cob_handle | ticket   | data_cadastro       | ultima_atualizacao  |
| agronet.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944003 | 2022-08-24 12:12:03 | 2023-05-11 19:06:29 |
| agu.gov.br                        | 026.994.558/0001-23 | LUFSO431   | SEGDI7     | THSMA210   |   135851 | 1999-01-21 19:17:15 | 2020-05-05 20:44:25 |
| ahimoc.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944015 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahimor.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944016 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahinor.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944017 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahipar.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944018 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahitar.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944019 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahrana.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944020 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahsfra.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944021 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| ahsul.gov.br                      | 006.347.892/0010-79 | SEGDI7     | SEGDI7     | SEGDI7     | 12568279 | 2014-02-27 14:21:33 | 2020-05-12 18:03:02 |
| aids.gov.br                       | 000.530.493/0001-71 | RGC5       | RGC5       | RGC5       |    41832 | 1997-06-02 12:00:00 | 2016-04-06 17:53:35 |
| al.gov.br                         | 035.562.321/0001-64 | GESNE7     | FEASI638   | ANFSO60    |     6462 | 1996-04-04 12:00:00 | 2022-12-12 16:37:34 |
| aleam.gov.br                      | 004.530.820/0001-46 | SEGDI7     | SEGDI7     | CBB27      |   453845 | 2000-11-13 17:30:54 | 2020-05-05 20:44:06 |
| alemg.gov.br                      | 017.516.113/0001-47 | RERAL95    | RERAL95    | RERAL95    |   132644 | 1998-12-11 14:10:54 | 2023-02-09 12:42:45 |
| almg.gov.br                       | 017.516.113/0001-47 | RERAL95    | RERAL95    | RERAL95    |        0 | 1996-01-01 12:00:00 | 2023-02-09 12:43:22 |
| almoxarifadovirtual.gov.br        | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 18859756 | 2018-09-29 20:42:12 | 2020-02-07 20:58:40 |
| altatv.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944022 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| am.gov.br                         | 004.407.920/0001-80 | DISER73    | DISER73    | JMPFI9     |        0 | 1996-11-28 12:00:00 | 2021-10-05 19:17:40 |
| amapa.gov.br                      | 001.591.392/0001-73 | GEIPR3     | GEIPR3     | GEIPR3     |    82660 | 1998-01-16 12:26:24 | 2017-11-02 17:35:29 |
| amazonasenergia.gov.br            | 000.357.038/0001-16 | INTEL69    | INTEL71    | RYM6       |   639230 | 2001-09-28 20:14:55 | 2022-03-15 13:57:18 |
| amazonfund-bndes.gov.br           | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310107 | 2009-03-17 14:38:40 | 2014-02-13 23:08:30 |
| amazonfund.gov.br                 | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310125 | 2009-03-17 14:54:06 | 2014-02-27 23:16:39 |
| amazoniafund.gov.br               | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310115 | 2009-03-17 14:54:06 | 2014-02-13 23:08:43 |
| amazoniafundo-bndes.gov.br        | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310091 | 2009-03-17 14:38:39 | 2014-02-13 23:08:56 |
| amazoniafundo.gov.br              | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310130 | 2009-03-17 14:54:06 | 2014-02-13 23:09:13 |
| amazonianfund-bndes.gov.br        | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310056 | 2009-03-17 14:38:39 | 2014-02-13 23:09:26 |
| amazonianfund.gov.br              | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310136 | 2009-03-17 14:54:06 | 2014-02-13 23:09:39 |
| amazul.gov.br                     | 018.910.028/0001-21 | SEGDI7     | SEGDI7     | CHMME21    | 13103073 | 2014-07-16 14:06:03 | 2020-05-05 20:44:15 |
| ambiente.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944023 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| an.gov.br                         | 004.374.067/0001-47 | KERPO      | KERPO      | KERPO      |  5817090 | 2009-07-24 16:13:24 | 2021-01-29 21:52:54 |
| ana.gov.br                        | 004.204.444/0001-08 | FACAL288   | FACAL288   | FACAL288   |   530908 | 2001-03-20 21:24:48 | 2023-09-08 14:11:59 |
| anac.gov.br                       | 007.947.821/0001-89 | FESSA379   | RELAR74    | FESSA379   |  2762327 | 2006-04-26 20:30:46 | 2023-11-03 17:42:25 |
| anapost.gov.br                    | 034.028.316/0001-03 | GIMCO87    | GIMCO87    | GIMCO87    |   246117 | 2000-02-01 18:09:06 | 2023-07-13 04:26:09 |
| anatel.gov.br                     | 002.030.715/0001-12 | RADSA1369  | LOTNE3     | AGFGO11    |    48284 | 1997-07-22 12:00:00 | 2023-07-03 18:35:28 |
| ancine.gov.br                     | 004.884.574/0001-20 | ANGTI      | ANGTI      | ANGTI      |   739426 | 2002-02-27 17:38:26 | 2022-12-06 18:15:04 |
| aneel.gov.br                      | 002.270.669/0001-29 | COSIN16    | COSIN16    | COSIN16    |    80028 | 1998-01-16 12:21:47 | 2023-05-13 14:23:28 |
| anm.gov.br                        | 000.381.056/0001-33 | CDGRE1     | CDGRE1     | CDGRE1     | 17949998 | 2018-01-30 11:30:00 | 2021-01-14 18:43:18 |
| anp.gov.br                        | 002.313.673/0001-27 | ADMAR767   | LESCO460   | GIGGO39    |    84599 | 1998-02-02 11:14:20 | 2023-09-27 14:04:57 |
| anpd.gov.br                       | 044.365.866/0001-71 | COTIN34    | COTIN34    | COTIN34    | 22006768 | 2020-11-12 14:29:18 | 2023-03-23 17:18:07 |
| ans-saude.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944025 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| ans.gov.br                        | 003.589.068/0001-46 | LUPCA309   | LUPCA309   | LUPCA309   |   377463 | 2000-07-28 17:28:45 | 2023-10-25 15:51:27 |
| anssaude.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944024 | 2022-08-24 12:14:03 | 2023-05-11 19:06:29 |
| antaq.gov.br                      | 004.903.587/0001-08 | DIONU1     | DIONU1     | IRP        |   751032 | 2002-03-12 12:46:43 | 2023-11-02 01:28:21 |
| antarcticabrazil.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944026 | 2022-08-24 12:14:04 | 2023-05-11 19:06:29 |
| antt.gov.br                       | 004.898.488/0001-77 | VHGLL1     | ALMMA623   | VHGLL1     |   783416 | 2002-04-15 11:34:13 | 2021-12-02 12:40:03 |
| anvisa.gov.br                     | 003.112.386/0001-11 | GRBMA22    | GRBMA22    | GRBMA22    |   342060 | 2000-05-19 13:53:15 | 2023-06-16 21:33:07 |
| anvs.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944027 | 2022-08-24 12:14:04 | 2023-05-11 19:06:29 |
| ap.gov.br                         | 001.591.392/0001-73 | GEIPR3     | GEIPR3     | GEIPR3     |   122622 | 1998-10-21 11:00:00 | 2016-03-10 18:07:18 |
| apec.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944028 | 2022-08-24 12:14:04 | 2023-05-11 19:06:29 |
| api.gov.br                        | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 25650601 | 2023-01-27 13:13:26 | 2023-01-27 13:13:26 |
| apo.gov.br                        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944029 | 2022-08-24 12:14:04 | 2023-05-11 19:06:29 |
| apostasurpresa.gov.br             | 000.360.305/0674-46 | RMJ35      | GIT60      | GIC166     |   399383 | 2000-08-04 20:46:54 | 2023-03-11 23:19:14 |
| app.gov.br                        | 000.489.828/0003-17 | CGSTM2     | CGSTM2     | CGSTM2     | 19723168 | 2019-06-04 14:46:59 | 2020-04-16 13:52:54 |
| aprendendoaexportar.gov.br        | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    |   690933 | 2001-12-04 18:36:17 | 2022-04-08 20:53:51 |
| arquitetura.gov.br                | 014.702.767/0001-77 | MICLO17    | MICLO17    | MICLO17    | 14444330 | 2015-07-28 10:55:31 | 2020-05-04 20:24:19 |
| arquivonacional.gov.br            | 004.374.067/0001-47 | KERPO      | KERPO      | KERPO      |   225434 | 1999-11-29 13:55:28 | 2021-01-29 21:53:17 |
| artesanatobrasileiro.gov.br       | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    | 18186095 | 2018-03-28 12:34:33 | 2022-04-29 18:38:53 |
| atlasdeacessoajustica.gov.br      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944043 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| auxiliobrasil.gov.br              | 005.756.246/0001-01 | RAASI691   | RAASI691   | RAASI691   | 24192055 | 2022-03-15 14:27:11 | 2022-09-05 23:56:34 |
| avancabrasil.gov.br               | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   190314 | 1999-08-20 11:50:35 | 2021-01-12 11:25:53 |
| avancar.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 17555232 | 2017-10-16 16:44:42 | 2020-02-07 21:00:18 |
| avancarparcerias.gov.br           | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      | 17821677 | 2017-12-15 18:34:14 | 2018-01-24 13:26:32 |
| avasus.gov.br                     | 033.781.055/0009-92 | RAMMO42    | RAMMO42    | RAMMO42    | 17766771 | 2017-12-05 16:23:36 | 2022-12-19 13:14:13 |
| aviacao.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944044 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| aviacaocivil.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944045 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| avozdobrasil.gov.br               | 009.168.704/0001-42 | RSM9       | RSM9       | RSM9       | 15079605 | 2016-01-18 13:07:22 | 2016-01-18 13:07:22 |
| ba.gov.br                         | 013.579.586/0001-32 | ERDVI10    | CPDBA1     | ERDVI10    |     4932 | 1995-12-27 12:00:00 | 2021-10-06 16:13:40 |
| bacen.gov.br                      | 000.038.166/0001-05 | DIBCB      | SETIN16    | DIBCB      |        0 | 1996-11-26 11:00:00 | 2015-06-17 22:19:54 |
| baciadoprata.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944046 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| badesc.gov.br                     | 082.937.293/0001-00 | BDE        | BDE        | BDE        |    10625 | 1996-06-28 12:00:00 | 2022-08-15 17:20:12 |
| bancocentral.gov.br               | 000.038.166/0001-05 | DIBCB      | SETIN16    | DIBCB      |   135008 | 1998-12-31 00:24:21 | 2015-06-17 22:20:15 |
| bancodaterra.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944047 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| bancodeconteudos.gov.br           | 003.221.904/0001-35 | SEGDI7     | SEGDI7     | CIBRA24    |  6496733 | 2010-02-12 17:00:59 | 2020-05-05 20:44:13 |
| bancodeoportunidades.gov.br       | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   196982 | 1999-09-10 18:30:30 | 2021-01-12 11:25:53 |
| bancodonordeste.gov.br            | 007.237.373/0016-06 | CLRAL149   | DANMA112   | LHRSJ      |   756331 | 2002-03-18 13:34:47 | 2022-11-04 12:04:56 |
| banconordeste.gov.br              | 007.237.373/0001-20 | CLRAL149   | DANMA112   | LHRSJ      |    83925 | 1998-02-09 12:03:19 | 2022-11-04 11:49:39 |
| bc.gov.br                         | 000.038.166/0001-05 | DIBCB      | SETIN16    | DIBCB      |   133801 | 1998-12-30 18:22:39 | 2015-06-17 22:20:33 |
| bcb.gov.br                        | 000.038.166/0001-05 | DIBCB      | SETIN16    | DIBCB      |     5153 | 1996-01-24 12:00:00 | 2015-06-17 22:20:50 |
| bcc.gov.br                        | 003.221.904/0001-35 | SEGDI7     | SEGDI7     | CIBRA24    |  6496729 | 2010-02-12 17:00:59 | 2020-05-05 20:44:21 |
| bcdam.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944048 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| bdep.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944049 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| bdjur.gov.br                      | 000.488.478/0001-02 | JHTMS      | JHTMS      | JHTMS      |  1845312 | 2004-10-13 14:50:40 | 2021-06-23 17:08:19 |
| belomonte.gov.br                  | 000.357.038/0001-16 | INTEL69    | INTEL71    | ROLCO192   |   810126 | 2002-05-08 14:33:37 | 2022-03-15 13:57:26 |
| bemrecebercopa.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944050 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| bid2002brasil.gov.br              | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   680509 | 2001-11-14 17:57:46 | 2021-01-12 11:25:53 |
| biodiesel.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944051 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| biodiversidade.gov.br             | 008.829.974/0001-94 | CRC644     | DALSO56    | CRC644     |  7708202 | 2011-01-06 18:04:02 | 2013-04-19 12:32:05 |
| bioform.gov.br                    | 033.781.055/0015-30 | SEGDI7     | SEGDI7     | SEGDI7     | 11267724 | 2013-04-01 12:23:27 | 2022-06-02 18:05:36 |
| bn.gov.br                         | 040.176.679/0001-99 | GGCJU21    | GGCJU21    | GGCJU21    | 10957465 | 2013-01-31 13:39:16 | 2023-04-11 13:54:48 |
| bnb.gov.br                        | 007.237.373/0001-20 | CLRAL149   | DANMA112   | LHRSJ      |     7114 | 1996-04-24 12:00:00 | 2022-11-04 11:51:24 |
| bnde.gov.br                       | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      | 18646912 | 2018-08-06 12:38:36 | 2018-08-06 12:38:36 |
| bndes.gov.br                      | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |     4412 | 1995-10-30 12:00:00 | 2023-07-21 11:48:19 |
| bndespar.gov.br                   | 000.383.281/0001-09 | GGT13      | GGT13      | GGT13      |  2800307 | 2006-05-17 17:29:51 | 2014-11-11 20:48:56 |
| bnds.gov.br                       | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      | 18646930 | 2018-08-06 12:38:36 | 2018-08-06 12:38:36 |
| boavistaenergia.gov.br            | 000.357.038/0001-16 | SEGDI7     | SEGDI7     | AFN123     |   414884 | 2000-09-12 12:00:19 | 2020-05-05 20:44:07 |
| bolaofederal.gov.br               | 000.360.305/0688-41 | RMJ35      | GIT60      | GIC166     |   323563 | 2000-05-02 13:26:04 | 2023-05-14 02:09:27 |
| bolsadacaixa.gov.br               | 000.360.305/0655-83 | RMJ35      | GIT60      | GIC166     |   399411 | 2000-08-04 21:17:42 | 2023-03-11 23:20:01 |
| br.gov.br                         | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 12262544 | 2013-11-18 18:20:41 | 2020-06-08 13:31:36 |
| brasil-rounds.gov.br              | 002.313.673/0002-08 | PAMBR44    | GIGGO39    | RRAAL14    |   659465 | 2001-10-19 10:56:59 | 2022-08-16 16:06:50 |
| brasil.gov.br                     | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      |    24188 | 1996-12-06 11:00:00 | 2021-06-15 19:00:31 |
| brasil2016.gov.br                 | 002.961.362/0001-74 | RAASI691   | MHAGO13    | RAASI691   | 12121014 | 2013-10-23 13:42:11 | 2022-09-06 18:40:39 |
| brasilcentral.gov.br              | 003.230.476/0001-07 | STC46      | STC46      | STC46      | 14653175 | 2015-09-16 19:09:24 | 2019-09-03 15:29:31 |
| brasilcultura.gov.br              | 000.394.536/0004-81 | SAT7       | SAT7       | SAT7       |   652566 | 2001-10-03 14:45:26 | 2022-05-25 14:23:50 |
| brasildigital.gov.br              | 000.414.607/0001-18 | DGACO10    | SEIRE9     | DGACO10    | 13890186 | 2015-03-02 19:51:54 | 2023-06-14 13:52:52 |
| brasileficiente.gov.br            | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      | 17608417 | 2017-10-27 12:21:05 | 2017-10-27 12:21:05 |
| brasilemcidades.gov.br            | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944052 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| brasilexport.gov.br               | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       | 11946792 | 2013-09-12 12:24:44 | 2022-05-02 18:48:06 |
| brasilglobalnet.gov.br            | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       |  7725667 | 2010-12-29 12:59:40 | 2022-05-25 14:22:00 |
| brasilia2010.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944053 | 2022-08-24 12:16:04 | 2023-05-11 19:06:29 |
| brasilmaior.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944054 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brasilmaisprodutivo.gov.br        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944055 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brasilpresente.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944056 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brasilre.gov.br                   | 033.376.989/0001-91 | SEOCE5     | SEOCE5     | SEOCE5     |  5608210 | 2009-06-16 14:19:39 | 2022-05-10 14:14:29 |
| brasilreinounido.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944057 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brasilsaudavelesustentavel.gov.br | 005.756.246/0001-01 | RAASI691   | MHAGO13    | RAASI691   | 14074511 | 2015-04-29 19:03:31 | 2022-09-06 19:14:45 |
| brasilsemiseria.gov.br            | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  8329623 | 2011-05-26 16:59:26 | 2019-08-14 19:22:17 |
| brasilsemmiseria.gov.br           | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  8329582 | 2011-05-26 16:59:26 | 2019-08-14 19:22:28 |
| brasiltradenet.gov.br             | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       |   251694 | 2000-02-01 11:26:44 | 2022-05-02 18:57:29 |
| brasiltransparente.gov.br         | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |   410725 | 2000-08-21 15:35:49 | 2020-06-08 13:33:58 |
| brasilvoluntario.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944058 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brazil-rounds.gov.br              | 002.313.673/0002-08 | PAMBR44    | GIGGO39    | RRAAL14    |   446016 | 2000-10-24 22:43:00 | 2022-08-16 19:48:31 |
| brazil.gov.br                     | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      |    24189 | 1996-12-06 11:00:00 | 2018-10-29 21:04:15 |
| brazilenvironment-mobile.gov.br   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944059 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brazilexport.gov.br               | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       | 11823944 | 2013-08-14 18:48:06 | 2022-05-25 14:51:07 |
| brazilglobalnet.gov.br            | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       |  8249899 | 2011-05-05 16:07:36 | 2022-05-02 18:57:54 |
| brazilgovnews.gov.br              | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      | 15887965 | 2016-07-25 13:15:35 | 2016-07-25 13:15:35 |
| brazilianexporters.gov.br         | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944060 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| brazilrounds.gov.br               | 002.313.673/0002-08 | PAMBR44    | GIGGO39    | RRAAL14    |   436444 | 2000-10-10 17:47:22 | 2022-08-16 19:48:13 |
